row,exposure,target,prediction
40090,1,637.193,1354.57
40431,1,1165.58,961.799
40432,1,1192.19,982.181
40733,1,1093.41,1319.66
41219,1,1192.19,1013.66
41405,1,784.163,1197.13
41437,1,1093.41,1133.43
41557,1,2540.2,1211.92
41635,1,148.536,1336.53
41883,1,722.54,979.127
42043,1,516.544,927.736
42150,2,2186.83,2355.77
42163,1,815.497,1059.61
42168,1,1165.58,1688.36
42339,1,1034.24,1584.24
42465,1,102.46,1080.15
42500,1,1392.47,791.545
42521,1,1148.19,1064.87
42637,1,557.003,863.736
43107,1,418.041,1142.27
43328,1,778.514,980.195
43451,1,1192.19,1184.97
43513,2,1420.99,1999.04
43661,1,1165.58,1156.43
43823,1,1192.19,1599.72
43859,1,1248.96,934.606
44054,1,619.304,1051.31
44391,1,217.794,1058.51
44622,1,800.378,1221.75
44723,1,221.917,1145.78
44947,1,882.232,874.558
45025,1,1460.92,1229.28
45317,1,692.357,1221.73
45455,1,1912.58,1074.3
45475,1,771.458,839.889
45487,1,1579.51,1266.54
45503,1,3188.95,1230.62
45555,1,1165.58,908.402
45797,1,958.518,1159.02
45891,1,1592.5,1079.63
46067,2,2186.83,2314.76
46108,2,1813.24,3559.09
46125,1,990.236,1147.25
46129,2,3097.12,2497.1
46245,2,2270.73,2405.38
46586,2,2525.87,2460.39
46615,1,1078.42,1117.06
46627,1,135.029,1035.49
46853,1,1615.96,1254.09
46946,2,421.138,2713.45
47137,1,304.638,1123.55
47150,1,210.569,1050.31
47198,1,1078.42,868.651
47297,1,1034.24,1114.9
47298,1,725.315,1130.87
47403,1,1165.58,1014.57
47433,1,1034.24,896.761
47573,1,1189.27,972.567
47742,1,1165.58,1114.82
48131,1,1165.58,1489.52
48172,1,1192.19,1204.96
48255,1,815.417,1287.65
48384,1,1034.24,922.927
48662,1,220.123,1595.85
48762,1,2608.68,1373.03
48833,1,211.13,989.62
48857,1,1093.41,1212.85
48955,1,1546.79,810.396
49002,1,1164.39,947.209
49124,1,117.279,1246.96
49295,1,621.815,953.133
49463,1,3479.95,1283.69
49473,1,1192.19,1173.7
49511,1,1192.19,1421.48
50061,1,1034.24,1057.15
50141,1,773.634,881.268
50204,1,2131.41,1258.28
50291,1,238.039,1027.03
50541,1,427.182,928.529
50616,1,1485.46,914.264
50675,1,816.707,978.702
50843,1,1034.24,870.305
50848,1,839.654,891.723
51086,1,104.918,1048.54
51156,1,1192.19,1691.59
51264,1,1240.28,1060.47
51752,1,1574.14,1080.15
51802,1,1063.34,1513.43
51834,1,341.49,1067
51994,1,1034.24,1317.65
52073,1,1165.58,1103.85
52100,1,620.171,1093.07
52136,1,196.113,911.489
52162,1,1604,1370.11
52261,1,1263.08,1015.27
52354,1,702.732,884.528
52534,1,1093.41,1319.66
52845,1,331.185,1164.53
53108,1,1539.72,1073.53
53156,1,576.022,979.359
53189,1,426.873,979.359
53296,1,619.32,1358.48
53479,1,490.512,1204.96
54014,1,226.294,1085.85
54155,1,1261.12,1066.2
54347,1,1964.38,1839.17
54505,1,652.02,1117.06
54691,1,1034.24,952.665
54839,1,210.569,957.886
54904,1,1034.24,809.513
54933,1,211.13,1377.06
54934,1,1407.92,1395.65
55076,1,833.356,978.702
55164,1,4693.79,1474.79
55276,1,1078.42,904.688
55338,1,210.052,1105.42
55434,2,1063.88,2128.47
55511,2,1898.63,1967.69
55681,1,290.778,1444.18
55856,1,531.74,794.058
55925,1,820.728,834.99
55930,1,272.623,976.095
55957,1,830.921,894.434
56113,1,433.524,901.19
56182,1,1135.66,1043.77
56208,1,1165.58,955.696
56237,1,1379.73,852.294
56278,1,1343.01,1134.89
56495,1,220.246,868.099
56819,1,571.824,803.527
57172,1,1078.42,1027.02
57219,1,518.089,1257.43
57280,1,190.952,811.511
57560,1,209.052,1318.94
57641,1,6562.28,1797.03
57857,1,1078.42,915.416
58039,1,1290.25,1064.07
58185,1,1090.1,1280.67
58428,1,1189.27,1043.02
58581,1,328.194,970.405
58633,1,1436.9,1001.78
58704,1,1034.24,1035.49
59139,1,966.186,938.041
59345,1,1524.68,1419.87
59353,1,1034.24,1009.27
59742,1,514.51,952.49
60092,1,355.94,1116.15
60169,1,313.019,1189.95
60316,2,1509.28,2359.91
60364,1,329.494,1118.71
60432,1,1207.64,1145.78
60717,1,1519.52,956.579
60720,1,1032.2,945.098
60797,1,4126.15,1034.85
60812,1,315.66,1282.37
61192,1,1486.84,1064.87
61411,1,824.129,1002.19
61481,1,1165.58,1036.54
61580,1,388.489,994.268
61594,1,266.043,979.807
61922,1,681.764,937.794
62025,1,1239.16,1345.89
62071,1,1256.96,1120.74
62073,1,1056.62,1186.46
62198,1,1192.19,1189.3
63014,1,1034.24,1180.68
63446,1,771.222,1128.03
63522,1,537.761,1606.94
63525,1,375.721,1724.13
63793,1,428.579,888.282
63810,1,154.83,1031.22
63831,1,720.768,1048.6
64168,1,2959.83,833.804
64236,1,293.496,1138.06
65015,1,206.435,1064.89
65500,1,1034.24,1355.12
65577,1,1078.42,1079.33
65810,1,1290.4,1108.76
65840,1,1165.58,1703.19
65932,1,1830.83,1575.1
66044,1,1165.58,1199.83
66215,1,657.194,1154.04
66351,1,1192.19,1075.88
66465,1,315.66,1119.92
66545,1,778.697,1019.57
66992,1,753.189,1117.83
67435,1,602.171,919.08
67588,1,608.552,1477.99
67602,1,959.921,1325.76
67759,2,1545.53,2392.8
67833,1,1807.89,1293.08
67834,1,1481.62,1320.49
68340,1,601.354,938.442
68541,1,1078.42,972.639
68569,1,1661.36,1434.01
68630,2,1903.01,2081.19
68658,1,1028.61,1244.31
68659,1,1185.8,1289.94
69382,1,1078.42,932.724
69408,2,1376.56,2417.27
69419,1,1192.19,1036.79
69725,1,1165.58,1206.19
69804,1,206.99,1111.06
69863,1,889.406,1158.93
69868,1,743.165,1057.18
70226,1,56.4707,824.434
70413,1,1539.01,1277.84
70823,1,136.674,1234.25
71009,1,1793.58,2005.75
71156,1,1034.24,1469.92
71289,1,505.778,1195.32
71330,1,1310.25,1144.52
71455,2,2384.38,2530.1
71515,1,527.919,976.632
71797,1,1699.39,1229.28
71931,1,1256.84,1535.7
72030,1,705.627,938.539
72160,1,251.239,1015.27
72311,1,1412.87,1109.18
72517,1,2618.08,987.178
72714,1,179.598,901.058
72731,1,590.536,954.726
72918,1,1528.97,1008.19
73188,1,1192.19,1021.31
73223,1,579.359,983.804
73396,1,845.059,969.763
73408,1,636.31,1236.68
73470,1,985.429,1013.52
73489,1,1034.49,1093.07
73635,1,1165.58,1156.43
73878,2,730.976,2005.04
73881,1,248.275,1075.64
74283,1,453.136,1250.88
74395,1,1093.41,890.303
74711,1,1165.58,1075.4
74833,1,1165.58,1125.24
75006,1,274.304,1052.11
75076,1,1018.65,1318.94
75443,2,1402.76,1813.07
75444,1,315.66,852.116
75458,1,1192.19,1246.96
75479,1,2272.1,1833.1
76316,1,1078.42,1174.39
76450,1,425.679,1128.2
76941,1,1850.09,1135.22
77103,1,1634.15,942.218
77105,1,4805.03,1170.45
77357,1,2165.64,1080.15
77534,1,1008.79,849.527
77617,1,395.393,921.571
77991,1,1161.3,1056.77
78006,1,196.113,877.996
78228,1,1132.64,1566.52
